Genotype,Strain,Accession,Gene,Subtype,Note,Citation,CitationNote
NA1,,KF246643,G,A,,PMC4188627,OCR from Fig.2
NA2,,AB603444,G,A,,PMC4188628,OCR from Fig.2
NA2,,AB603443,G,A,,PMC4188629,OCR from Fig.2
GA2,,AF233915,G,A,,PMC4188630,OCR from Fig.2
GA2,,JX256971,G,A,,PMC4188631,OCR from Fig.2
GA3,,AF233921,G,A,,PMC4188632,OCR from Fig.2
GA3,,AF233913,G,A,,PMC4188633,OCR from Fig.2
GA7,,AF233910,G,A,,PMC4188634,OCR from Fig.2
GA7,,DQ171754,G,A,,PMC4188635,OCR from Fig.2
GA4,,AF065254,G,A,,PMC4188636,OCR from Fig.2
GA6,,AF233918,G,A,,PMC4188637,OCR from Fig.2
GA6,,EU582173,G,A,,PMC4188638,OCR from Fig.2
SAA1,,AF348807,G,A,,PMC4188639,OCR from Fig.2
SAA1,,AF548797,G,A,,PMC4188640,OCR from Fig.2
GA5,,AB175815,G,A,,PMC4188641,OCR from Fig.2
GA5,,JN257698,G,A,,PMC4188642,OCR from Fig.2
GA1,,AF233914,G,A,,PMC4188643,OCR from Fig.2
BAIX,,HM459878,G,B,,PMC4188644,OCR from Fig.2
BAIX,,KC342347,G,B,,PMC4188645,OCR from Fig.2
BAIX,,KF246629,G,B,,PMC4188646,OCR from Fig.2
BAIX,,KF246624,G,B,,PMC4188647,OCR from Fig.2
BAVII,,KC297492,G,B,,PMC4188648,OCR from Fig.2
BAVII,,HM459865,G,B,,PMC4188649,OCR from Fig.2
BAVIII,,HM459872,G,B,,PMC4188650,OCR from Fig.2
BAVIII,,AB603478,G,B,,PMC4188651,OCR from Fig.2
BAXII,,KF246585,G,B,,PMC4188652,OCR from Fig.2
BAXII,,KF246586,G,B,,PMC4188653,OCR from Fig.2
BAX,,HM459884,G,B,,PMC4188654,OCR from Fig.2
BAX,,KC297426,G,B,,PMC4188655,OCR from Fig.2
BAII,,HM459856,G,B,,PMC4188656,OCR from Fig.2
BAII,,HM459857,G,B,,PMC4188657,OCR from Fig.2
BAIV,,HM459858,G,B,,PMC4188658,OCR from Fig.2
BAIV,,DQ227396,G,B,,PMC4188659,OCR from Fig.2
BAIII,,DQ227370,G,B,,PMC4188660,OCR from Fig.2
BAIII,,GQ150691,G,B,,PMC4188661,OCR from Fig.2
BAV,,AB603482,G,B,,PMC4188662,OCR from Fig.2
BAV,,AB603480,G,B,,PMC4188663,OCR from Fig.2
BAVI,,AY751110,G,B,,PMC4188664,OCR from Fig.2
BAVI,,AY751111,G,B,,PMC4188665,OCR from Fig.2
BAI,,DQ227398,G,B,,PMC4188666,OCR from Fig.2
BAI,,DQ227373,G,B,,PMC4188667,OCR from Fig.2
GB3,,AF233932,G,B,,PMC4188668,OCR from Fig.2
URU1,,AY488805,G,B,,PMC4188669,OCR from Fig.2
URU1,,AY488804,G,B,,PMC4188670,OCR from Fig.2
SAB4,,JN119987,G,B,,PMC4188671,OCR from Fig.2
SAB4,,JN119979,G,B,,PMC4188672,OCR from Fig.2
SAB3,,AF348813,G,B,,PMC4188673,OCR from Fig.2
SAB3,,JF704216,G,B,,PMC4188674,OCR from Fig.2
GB4,,AY672691,G,B,,PMC4188675,OCR from Fig.2
GB4,,AY672698,G,B,,PMC4188676,OCR from Fig.2
SAB2,,AF348821,G,B,,PMC4188677,OCR from Fig.2
SAB2,,AF309676,G,B,,PMC4188678,OCR from Fig.2
SAB1,,AY660684,G,B,,PMC4188679,OCR from Fig.2
SAB1,,AY660682,G,B,,PMC4188680,OCR from Fig.2
GB1,,M73542,G,B,,PMC4188681,OCR from Fig.2
GB1,,AF013254,G,B,,PMC4188682,OCR from Fig.2
THB,,KC342336,G,B,,PMC4188683,OCR from Fig.2
THB,,KC342343,G,B,,PMC4188684,OCR from Fig.2
GB2,,AF065251,G,B,,PMC4188685,OCR from Fig.2
URU2,,AY333361,G,B,,PMC4188686,OCR from Fig.2
URU2,,AY488803,G,B,,PMC4188687,OCR from Fig.2
